2021-06-11 14:33:46.630985:agent 2, episode 11: step 200, max height 0.06573988097420758, paths: [0, 0, 2, 2, 2, 1, 0, 2, 1, 1, 1, 0, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 1, 0, 0, 2, 1, 0, 2, 2, 0, 1, 1, 2, 1, 1, 1, 2, 0, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 2, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 1, 0, 0, 2, 1, 0, 0, 2, 2, 1, 0, 1, 2, 1, 2, 1, 1, 1, 0, 2, 1, 0, 2, 2, 0, 1, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 0, 0, 1, 2, 0, 1, 0, 0, 2, 2, 1, 2, 1, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 2, 2, 2, 1, 0, 1, 0, 1, 0, 2, 2, 0, 2, 0, 1, 0, 1, 0, 2, 2, 1, 0, 0, 2, 1, 0, 1, 2, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 1, 2, 1, 2, 0, 2, 2, 2, 1, 2, 1, 2, 0, 1, 1, 2, 2, 2, 0, 1, 2, 1, 2, 0, 0]
2021-06-11 14:33:46.650932:agent 3, episode 12: step 200, max height 0.26275320456476636, paths: [0, 1, 2, 2, 2, 0, 1, 2, 0, 0, 1, 2, 2, 2, 0, 1, 1, 2, 2, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 1, 2, 0, 1, 2, 2, 0, 1, 1, 2, 0, 0, 2, 2, 2, 0, 1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 2, 2, 2, 2, 1, 2, 2, 2, 0, 0, 2, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 0, 2, 1, 1, 0, 1, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 1, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 0, 2, 1, 1, 0, 2, 1, 2, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 1, 0, 2, 0, 2, 2, 2, 2, 0, 2, 1, 0, 0, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 2]
2021-06-11 14:33:46.781583:agent 0, episode 13: step 200, max height 0.09915348569672067, paths: [1, 0, 2, 2, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 1, 2, 2, 1, 0, 0, 2, 0, 1, 2, 2, 1, 2, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 2, 1, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 2, 1, 2, 2, 1, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 2, 0, 0, 1, 2, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 0, 1, 1, 2, 0, 1, 2, 0, 0, 2, 2, 1, 1, 0, 2, 0, 2, 0, 2, 2, 0, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 2, 1, 0, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 0, 2, 1, 0]
2021-06-11 14:33:47.025930:agent 6, episode 14: step 200, max height 0.1196424796469795, paths: [0, 0, 2, 1, 2, 1, 2, 1, 1, 0, 0, 2, 2, 1, 0, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1, 2, 1, 2, 2, 0, 0, 0, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 0, 2, 2, 2, 2, 0, 1, 2, 0, 0, 0, 1, 0, 2, 1, 0, 2, 1, 0, 0, 2, 0, 2, 1, 2, 1, 2, 1, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 1, 0, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 1, 0, 0, 2, 2, 2, 2, 0, 1, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0]
2021-06-11 14:33:48.201787:agent 4, episode 15: step 200, max height 0.20716531509096048, paths: [0, 1, 0, 0, 1, 0, 2, 2, 2, 2, 1, 2, 0, 2, 2, 0, 2, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 2, 2, 2, 1, 1, 1, 2, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 1, 2, 2, 2, 2, 0, 1, 2, 2, 0, 0, 0, 0, 2, 1, 1, 1, 2, 2, 2, 1, 0, 0, 0, 1, 1, 2, 0, 2, 2, 2, 1, 0, 1, 2, 1, 0, 2, 0, 2, 1, 2, 1, 0, 2, 0, 0, 0, 1, 0, 2, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 2, 1, 0, 1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 2, 1, 0, 2, 1, 2, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 2, 2, 1, 1, 2, 1, 1, 0, 0, 2, 0, 1, 1, 1]
2021-06-11 14:33:48.510961:agent 5, episode 16: step 200, max height 0.0983973499509968, paths: [2, 0, 0, 0, 0, 1, 2, 0, 2, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 2, 2, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 1, 1, 1, 2, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 2, 1, 1, 0, 2, 2, 0, 2, 1, 2, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 2, 2, 1, 2, 0, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 0, 1, 1, 0, 2, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 0, 2, 0, 1, 1, 0, 0, 2, 0, 2, 1, 0, 0, 2, 1, 0, 2, 1, 1, 0, 0, 2, 0]
2021-06-11 14:34:12.485051:agent 1, episode 17: step 200, max height 0.11920309962461983, paths: [1, 1, 0, 2, 1, 2, 0, 0, 1, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 0, 1, 0, 1, 2, 2, 0, 0, 0, 0, 2, 1, 0, 0, 2, 2, 0, 2, 2, 1, 0, 1, 0, 0, 2, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 1, 1, 2, 2, 0, 2, 0, 2, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 2, 1, 2, 0, 1, 0, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 1, 2, 1, 0, 2, 2, 1, 1, 2, 0, 0, 2, 1, 2, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 2, 2, 0, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 2, 0, 0, 2, 0, 2, 2, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 1, 2, 0, 1, 0, 2, 2, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 2, 2, 1, 0, 0, 2, 0, 0, 1]
2021-06-11 14:34:12.675542:agent 7, episode 18: step 200, max height 0.1283213324911705, paths: [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 2, 2, 1, 1, 1, 0, 0, 0, 0, 2, 1, 0, 1, 0, 2, 1, 0, 1, 1, 2, 1, 2, 0, 0, 2, 2, 0, 1, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 2, 1, 0, 1, 2, 0, 2, 0, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 2, 0, 1, 2, 2, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 2, 1, 2, 2, 0, 2, 0, 0, 2, 1, 2, 1, 2, 2, 0, 0, 1, 0, 0, 2, 2, 1, 1, 1, 1, 0, 0, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 0, 0, 0, 2, 2, 2]
2021-06-11 14:34:13.077467:agent 3, episode 19: step 200, max height 0.14824444388217906, paths: [2, 0, 2, 2, 1, 1, 2, 0, 1, 0, 0, 0, 2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 0, 1, 1, 1, 0, 2, 1, 2, 2, 2, 1, 1, 0, 0, 0, 2, 2, 1, 0, 1, 1, 2, 0, 2, 0, 2, 1, 0, 1, 1, 0, 0, 2, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 0, 2, 2, 2, 2, 0, 1, 2, 0, 0, 0, 2, 2, 2, 2, 1, 0, 1, 1, 1, 1, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 0, 1]
2021-06-11 14:34:14.071317:agent 2, episode 20: step 200, max height 0.2260213263688663, paths: [2, 1, 1, 1, 2, 2, 1, 0, 2, 2, 2, 0, 2, 0, 1, 2, 0, 0, 1, 2, 1, 2, 0, 1, 0, 1, 1, 2, 0, 2, 2, 0, 2, 1, 1, 1, 2, 1, 0, 0, 2, 2, 0, 1, 1, 2, 0, 0, 2, 0, 2, 1, 1, 1, 2, 0, 0, 1, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 2, 1, 0, 0, 2, 0, 2, 1, 0, 1, 2, 1, 0, 0, 1, 2, 2, 1, 0, 1, 2, 2, 0, 0, 1, 0, 1, 0, 2, 1, 1, 2, 1, 0, 1, 0, 0, 2, 1, 2, 0, 1, 2, 0, 0, 1, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 2, 2, 0, 1, 1, 0, 2, 2, 0, 1, 2, 0, 2, 1, 2, 0, 2, 0, 1, 2, 2, 1, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 0, 2, 1, 0, 0, 0, 2, 0, 1, 1, 1]
